query_spectrum_nr,ms2query_model_prediction,precursor_mz_difference,precursor_mz_query_spectrum,precursor_mz_analog,inchikey,analog_compound_name,smiles,retention_time,feature_id,cf_kingdom,cf_superclass,cf_class,cf_subclass,cf_direct_parent,npc_class_results,npc_superclass_results,npc_pathway_results
1,0.6160,23.9801,613.2931,589.3130,WHPZSYIEWQPEHY,"""12b-O-[deca-2Z,4E,6E-trienoyl]-13_-isobutyroyloxy-4b-deoxyphorbol """,[H][C@]12[C@]3([H])C=C(CO)C[C@]4([H])C(C(C)=C[C@@]4([H])[C@@]3(O)[C@H](C)[C@@H](OC(/C=C\C=C\C=C\CCC)=O)[C@@]1(OC(C(C)C)=O)C2(C)C)=O,354.4550,2,,,,,,Tetracyclic diterpenoids; Tigliane diterpenoids,Diterpenoids,Terpenoids
2,0.8942,0.0016,675.2626,675.2610,UFLYYPBSJUQZFA,"(2R,3R,4S,5R,7S,8R,9S,13R,15R)-3,5,7,9,14,15-Hexaacetoxy-8-hydroxy-14-oxojatropha-6(17),11E-diene / jatrophane ester isolated from Euphorbia amygdaloides ssp semiperfoliata",C[C@@]1(OC(C)=O)C[C@@](C([C@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](O)[C@@H](OC(C)=O)C([C@@H]2OC(C)=O)=C)=O)(OC(C)=O)[C@]2([H])[C@H]1OC(C)=O,353.1170,3,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
3,0.6611,150.1720,865.3380,1015.5100,UAVAEWGJORGZNS,Loggerpeptin A,C[C@@H](C(N[C@H](C(N[C@H]1[C@@H](C)OC([C@H](C(C)C)NC(C(CC2=CC=C(O)C=C2)N(C)C([C@H](CC3=CC=CC=C3)N4[C@H](O)CCC(NC([C@H](CC(C)C)NC1=O)=O)C4=O)=O)=O)=O)=O)[C@@H](O)C)=O)NC(CCC)=O,350.3760,4,,,,,,Ahp-containing cyclodepsipeptides; Cyclic peptides; Depsipeptides,Oligopeptides,Amino acids and Peptides; Polyketides
4,0.8226,60.0401,763.2749,823.3150,MYTOZWCQVXHVIO,"""2,5,8,9-tetracetoxy-15-hydroxy-3-benzoyloxyacetoxy-7-isobutyroyloxy-14-oxojatropha-6(17),11E-diene""",C[C@@]1(OC(C)=O)C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C(C)C)=O)C([C@@H]2OC(C)=O)=C)=O)[C@]2([H])[C@H]1OC(COC(C3=CC=CC=C3)=O)=O,367.9630,5,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,Jatrophane and cyclojatrophane diterpenoids,Jatrophane diterpenoids,Diterpenoids,Terpenoids
5,0.6292,285.2076,680.3004,965.5080,ABTNALLHJFCFRZ,"[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] 9-(hydroxymethyl)-2,2,6a,6b,9,12a-hexamethyl-10-[3,4,5-trihydroxy-6-[(3,4,5-trihydroxy-6-methyloxan-2-yl)oxymethyl]oxan-2-yl]oxy-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carboxylate",CC1OC(OCC2OC(OC3CCC4(C)C(CCC5(C)C4CC=C4C6CC(C)(C)CCC6(C(=O)OC6OC(CO)C(O)C(O)C6O)CCC45C)C3(C)CO)C(O)C(O)C2O)C(O)C(O)C1O,404.4440,7,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Terpene glycosides,Triterpene saponins,Oleanane triterpenoids,Triterpenoids,Terpenoids
6,0.5258,47.0016,702.2876,655.2860,XNBNKCLBGTWWSD,Coproporphyrin III,CC1=C(C2=CC3=C(C(=C(N3)C=C4C(=C(C(=N4)C=C5C(=C(C(=N5)C=C1N2)C)CCC(=O)O)C)CCC(=O)O)C)CCC(=O)O)CCC(=O)O,393.5350,8,,,,,,,,Alkaloids
7,0.6611,211.1075,710.3125,921.4200,HTABAKXDSDOMBN,"(7S,9E,11S,12R,13S,14S,15S,16R,17S,18S,19E,21Z)-2,15,17-trihydroxy-11-methoxy-3,7,12,14,16,18,22-heptamethyl-26-[4-(2-methylquinolin-4-yl)piperazin-1-yl]-6,23,27,29-tetraoxo-8,30-dioxa-24-azatetracyclo[23.3.1.1^{4,7}.0^{5,28}]triaconta-1,3,5(28),9,19,...",O=C(OC1C(C)C(OC)C=COC2(OC3=C(C2=O)C=4C(=O)C(=C(NC(=O)C(=CC=CC(C)C(O)C(C)C(O)C1C)C)C(=O)C4C(O)=C3C)N5CCN(C6=CC(=NC=7C=CC=CC76)C)CC5)C)C,426.3170,14,Organic compounds,Phenylpropanoids and polyketides,Macrolactams,,Macrolactams,Ansa macrolides,Macrolides,Polyketides
8,0.4912,632.4813,748.3487,1380.8300,ATBTWVUHMOVISW,Spectra matches to compound Putisolvin,O=C(NC(C(CC)C)C(NC(CCC(N)=O)C(NC(CO)C(NC(C(C)C)C(NC(C(CC)C)C(NC(COC(C(CO)NC1=O)=O)C(NC(CC(C)C)C(NC1C(C)C)=O)=O)=O)=O)=O)=O)=O)C(CC(C)C)NC(C(CCC(O)=O)NC(C(CC(C)C)NC(CCCCC)=O)=O)=O,427.7980,15,,,,,,Cyclic peptides; Depsipeptides; Lipopeptides,Oligopeptides,Amino acids and Peptides; Polyketides
9,0.6535,36.0232,695.2902,659.2670,NLKSLCYYSLLAMB,"3,5,7,15-tetraacetoxy-2-hydroxy-8-isobutyroyloxy-9,14-dioxojatropha-6(17),11E-diene (2)",C=C([C@@H]1OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C(C)C)=O)C(C(C)(C)/C=C/[C@@H](C)C([C@]2(OC(C)=O)[C@]1([H])[C@@H](OC(C)=O)[C@](C)(O)C2)=O)=O,439.2240,17,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
10,0.9422,0.0004,777.2954,777.2950,IINDQALFBNRRJE,13_-hydroxyterracinolide G,O[C@]12[C@@]([C@@H](OC(C)=O)[C@@](OC(C)=O)(C)C2)([H])[C@@H](OC3=O)[C@](CC3)(OC(C)=O)[C@H](OC(C(C)C)=O)[C@@H](OC(C)=O)[C@@H](OC(C)=O)C(C)(C)/C=C/[C@@](C)(O)C1=O,438.7120,18,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
