id,height,area,mz,rt,fermo:active,fermo:samples,fermo:samples:count,fermo:isblank,fermo:networks:modified_cosine:network_id,fermo:networks:ms2deepscore:network_id,fermo:phenotype:assay:CHIKV,fermo:annotation:adducts,fermo:annotation:matches:ms2query_annotation
1,229500.0,70330.0,591.31543,5.6051,false,,,,,,,,
2,323100.0,124500.0,613.2931,5.9076,false,,,,,,,,
3,5224000.0,1205000.0,675.26261,5.8853,true,140221_ME_14_17.mzML|140221_ME_14_16.mzML|140221_LF420101_4.mzML,3.0,,0.0,0.0,,,"'(2R,3R,4S,5R,7S,8R,9S,13R,15R)-3,5,7,9,14,15-Hexaacetoxy-8-hydroxy-14-oxojatropha-6(17),11E-diene / jatrophane ester isolated from Euphorbia amygdaloides ssp semiperfoliata'(score=0.8942;algorithm=ms2query;diff_mz=0.0016)"
4,4543000.0,807800.0,865.33795,5.8396,true,140221_ME_14_17.mzML|140221_LF420101_4.mzML,2.0,,0.0,0.0,,,
5,4010000.0,890000.0,763.2749,6.1327,true,140221_ME_14_15.mzML|140221_ME_14_16.mzML|140221_LF420101_4.mzML,3.0,,0.0,0.0,,,"'""2,5,8,9-tetracetoxy-15-hydroxy-3-benzoyloxyacetoxy-7-isobutyroyloxy-14-oxojatropha-6(17),11E-diene""'(score=0.8226;algorithm=ms2query;diff_mz=60.0401)"
6,161500.0,83220.0,524.23383,6.3873,false,,,,,,,,
7,10130000.0,2543000.0,680.30036,6.7407,true,140221_ME_14_16.mzML|140221_ME_14_15.mzML|140221_ME_14_17.mzML|140221_LF420101_4.mzML,4.0,,1.0,0.0,,,
8,2421000.0,558100.0,702.28764,6.5589,false,,,,,,,,
9,2304000.0,392600.0,772.341,7.0777,true,140221_ME_14_15.mzML|140221_ME_14_16.mzML|140221_LF420101_4.mzML,3.0,,,,,[M+2+H]+(partner_ID=13;adduct=[M+H]+;m/z=770.33392),
10,2927000.0,546600.0,635.26833,7.0898,true,140221_ME_14_15.mzML|140221_ME_14_16.mzML|140221_LF420101_4.mzML,3.0,,,,,,
11,1483000.0,293500.0,800.36577,7.0288,false,,,,,,,,
12,213200.0,91540.0,524.23157,6.8394,false,,,,,,,,
13,2681000.0,583300.0,770.33392,7.1109,true,140221_ME_14_17.mzML|140221_ME_14_16.mzML|140221_LF420101_4.mzML,3.0,,,,,[M+H]+(partner_ID=9;adduct=[M+2+H]+;m/z=772.341)|[M+Na]+(partner_ID=15;adduct=[M+H]+;m/z=748.34865),
14,3676000.0,879100.0,710.3125,7.1053,true,140221_ME_14_17.mzML|140221_ME_14_16.mzML|140221_LF420101_4.mzML,3.0,,0.0,0.0,,,
15,13430000.0,3212000.0,748.34865,7.13,true,140221_ME_14_16.mzML|140221_ME_14_12.mzML|140221_ME_14_17.mzML|140221_LF420101_4.mzML,4.0,,2.0,0.0,,[M+H]+(partner_ID=13;adduct=[M+Na]+;m/z=770.33392),
16,586600.0,156100.0,660.29979,7.0659,false,,,,,,,,
17,20320000.0,4620000.0,695.29016,7.3204,true,140221_ME_14_17.mzML|140221_ME_14_16.mzML|140221_ME_14_14.mzML|140221_ME_14_15.mzML|140221_LF420101_4.mzML,5.0,,3.0,0.0,,[M+1+H]+(partner_ID=19;adduct=[M+H]+;m/z=694.28678)|[M+H]+(partner_ID=34;adduct=[M+2+H]+;m/z=697.30263),
