query_spectrum_nr,ms2query_model_prediction,precursor_mz_difference,precursor_mz_query_spectrum,precursor_mz_analog,inchikey,analog_compound_name,smiles,retention_time,feature_id,cf_kingdom,cf_superclass,cf_class,cf_subclass,cf_direct_parent,npc_class_results,npc_superclass_results,npc_pathway_results
1,0.3529,243.0516,184.9854,428.0370,WHTCPDAXWFLDIH,"ADENOSINE 3',5'-DIPHOSPHATE",NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H]1O,718.1080,1294,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleotides,Purine ribonucleotides,"Purine ribonucleoside 3',5'-bisphosphates",Purine nucleos(t)ides,Nucleosides,Carbohydrates
2,0.3529,397.4546,184.9854,582.4400,ZQFURSYWJPLAJR,Spheroidenone,C(=CC=C(C=CC=C(C)C=CC=C(C)C=CC(C(C)(C)OC)=O)C)C=C(C=CC=C(CCC=C(C)CCC=C(C)C)C)C,709.3840,1282,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Tetraterpenoids,Xanthophylls,"Carotenoids (C40, Ψ-Ψ)",Carotenoids (C40),Terpenoids
3,0.3529,413.4946,184.9854,598.4800,SWAVOVMQOZIPBB,"3,4-Dihydrospirilloxanthin",C(CCCC(C)(C)OC)(=CC=CC(C)=CC=CC(C)=CC=CC=C(C)C=CC=C(C=CC=C(C=CCC(C)(C)OC)C)C)C,702.6150,1274,,,,,,"Carotenoids (C40, Ψ-Ψ)",Carotenoids (C40),Terpenoids
4,0.5869,0.0002,202.2167,202.2165,ZRKZFNZPJKEWPC,DDAO,N(C)(CCCCCCCCCC)(C)=O,314.8140,680,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Aminoxides,Long-chain alkyl amine oxides,Hydrocarbons,Fatty acyls,Fatty acids
5,0.7478,198.1618,120.0442,318.2060,OELFLUMRDSZNSF,Nateglinide,CC([C@H]1CC[C@@H](CC1)C(=O)N[C@@H](C(=O)O)Cc2ccccc2)C,116.8790,96,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Phenylalanine and derivatives,,Sesquiterpenoids,Terpenoids
6,0.7781,0.0001,186.2217,186.2216,IMFACGCPASFAPR,Tributylamine,CCCCN(CCCC)CCCC,304.5240,637,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Trialkylamines,Hydrocarbons,Fatty acyls,Fatty acids
7,0.7484,181.1362,137.0708,318.2070,OELFLUMRDSZNSF,Nateglinide,CC([C@H]1CC[C@@H](CC1)C(=O)N[C@@H](C(=O)O)Cc2ccccc2)C,116.9780,99,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Phenylalanine and derivatives,,Sesquiterpenoids,Terpenoids
8,0.7788,0.0002,213.1598,213.1600,XCTHZFGSVQBHBW,Val-Leu,CC(C)C[C@@H](C(=O)O)NC(=O)[C@H](C(C)C)N,270.6120,479,,,,,,Dipeptides,Small peptides,Amino acids and Peptides
9,0.8217,45.0823,635.3127,680.3950,UNCVXXVJJXJZII,Nodulisporic Acid A,CC(=C)[C@H]1C(=O)C2=C3N1C4=C(C3=CC5=C2[C@H]([C@H]6C5=CC(OC6(C)C)(C)C)O)C[C@H]7[C@]4([C@]8(CC[C@@H]([C@@]([C@@H]8CC7)(C)/C=C/C=C(\C)/C(=O)O)O)C)C,559.4510,1177,,,,,,Indole-Diterpenoid alkaloids (Penitrems),Tryptophan alkaloids,Alkaloids; Terpenoids
10,0.8917,0.0013,628.3233,628.3220,RJURFGZVJUQBHK,actinomycin D CollisionEnergy:102040,Cc1c2oc3c(C)ccc(C(O)=NC4C(O)=NC(C(C)C)C(=O)N5CCCC5C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC4C)c3nc-2c(C(O)=NC2C(O)=NC(C(C)C)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC2C)c(N)c1=O,558.0370,1173,Organic compounds,Organic acids and derivatives,Peptidomimetics,Depsipeptides,Cyclic depsipeptides,Actinomycins,Oligopeptides,Amino acids and Peptides
11,0.6611,221.9379,355.2821,577.2200,DNZFPUQJJQXSKX,"4-((11aS)-1,3-dioxo-5-(p-tolyl)-11,11a-dihydro-1H-imidazo[1',5':1,6]pyrido[3,4-b]indol-2(3H,5H,6H)-yl)-N-phenethylbenzamide",O=C(NCCC=1C=CC=CC1)C2=CC=C(C=C2)N3C(=O)N4C(C5=CC=C(C=C5)C)C=6NC=7C=CC=CC7C6CC4C3=O,674.6490,1241,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Pyridoindoles,Beta carbolines,Carboline alkaloids,Tryptophan alkaloids,Alkaloids
12,0.4677,368.1347,111.0203,479.1550,BJYRNIFAMMOVGW,Lindleyin,O=C(OCC1OC(OC2=CC=C(C=C2)CCC(=O)C)C(O)C(O)C1O)C3=CC(O)=C(O)C(O)=C3,700.7330,1275,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Phenolic glycosides,,Phenolic acids (C6-C1),Shikimates and Phenylpropanoids
13,0.9282,0.0001,365.1059,365.1060,CZMRCDWAGMRECN,Sucrose,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,32.4540,44,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,O-glycosyl compounds,Disaccharides,Saccharides,Carbohydrates
14,0.3530,411.4991,186.9809,598.4800,SWAVOVMQOZIPBB,"3,4-Dihydrospirilloxanthin",C(CCCC(C)(C)OC)(=CC=CC(C)=CC=CC(C)=CC=CC=C(C)C=CC=C(C=CC=C(C=CCC(C)(C)OC)C)C)C,713.9690,1290,,,,,,"Carotenoids (C40, Ψ-Ψ)",Carotenoids (C40),Terpenoids
15,0.8217,7.9985,636.3205,628.3220,RJURFGZVJUQBHK,actinomycin D CollisionEnergy:102040,Cc1c2oc3c(C)ccc(C(O)=NC4C(O)=NC(C(C)C)C(=O)N5CCCC5C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC4C)c3nc-2c(C(O)=NC2C(O)=NC(C(C)C)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC2C)c(N)c1=O,499.1660,1098,Organic compounds,Organic acids and derivatives,Peptidomimetics,Depsipeptides,Cyclic depsipeptides,Actinomycins,Oligopeptides,Amino acids and Peptides
16,0.7788,0.0004,204.0866,204.0870,OVRNDRQMDRJTHS,N-Acetyl-D-glucosamine,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](OC1O)CO)O)O,32.7240,59,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Acylaminosugars,Aminosugars,Aminosugars and aminoglycosides,Carbohydrates
17,0.4677,28.9889,244.1079,215.1190,HMBHRMFLDKKSCT,Methoxy-6-harmalan3589-73-9,COc1ccc2[nH]c3C(=NCCc3c2c1)C,341.8360,788,,,,,,Carboline alkaloids,Tryptophan alkaloids,Alkaloids
